sector,epoch,predicted_bjd,measured_bjd,oc_seconds,formal_timing_error_seconds,sector_jitter_seconds,timing_error_seconds,n_points,beta,reduced_chi_square,delta_bic,supported
9,2715,2458544.4093818,2458544.4109525234,135.71051997455805,44.92062926823321,46.9825197962704,65.00169305688115,135,1.0,0.8096178469478317,1027.1198424905258,True
9,2716,2458545.19822032,2458545.199078324,74.1315367106594,43.91841550575114,46.9825197962704,64.31317428756525,174,1.0735739875866455,0.7420741864354153,1438.0924599133352,True
9,2717,2458545.9870588398,2458545.989006512,168.27885363154215,40.570429302152895,46.9825197962704,62.07509081884558,174,1.0,0.8244871251266291,1407.1826518155665,True
9,2718,2458546.77589736,2458546.7773095234,122.01093485111423,45.993078251082615,46.9825197962704,65.747398529654,173,1.1327685770092233,0.8722469622409148,1400.7389749696615,True
9,2719,2458547.5647358797,2458547.5669582817,192.0155482376288,42.50757720144004,46.9825197962704,63.35811933717198,174,1.0470761515491223,0.8224645854232886,1323.4932385655584,True
9,2720,2458548.3535744,2458548.3548493036,110.15166855163415,50.97730094327003,46.9825197962704,69.32562569402212,174,1.2543743228103923,0.985793314676022,1273.786270181704,True
9,2721,2458549.14241292,2458549.144240382,157.89271978077332,58.11864015154787,46.9825197962704,74.73375073868601,174,1.3027482387287341,1.2021861422146294,1335.692748322591,True
9,2722,2458549.9312514397,2458549.932330937,93.26858301836918,42.89913009739854,46.9825197962704,63.621478523533746,173,1.0556823316720723,0.9068345749910675,1405.9601171243191,True
9,2723,2458550.72008996,2458550.721126905,89.59206642500044,50.22137086758989,46.9825197962704,68.77167482493753,173,1.237155179242023,0.9708075025546504,1383.8812861789088,True
9,2724,2458551.50892848,2458551.5100137834,93.77019094424368,40.552585055514385,46.9825197962704,62.06342982056075,173,1.0,0.780767140436827,1354.547294153243,True
9,2725,2458552.297767,2458552.298955915,102.72227075256433,41.27844661726716,46.9825197962704,62.540125691763,173,1.0,1.0361871722177207,1366.086850165308,True
9,2726,2458553.08660552,2458553.08795349,116.46460888398984,44.34014916167262,46.9825197962704,64.60190395093876,173,1.0,1.196714100135271,1326.1599083289584,True
9,2727,2458553.8754440397,2458553.876915712,127.15248658411993,40.511372975379295,46.9825197962704,62.03650946625892,173,1.0,0.9052205053684916,1408.1682612102425,True
9,2728,2458554.66428256,2458554.6657461897,126.45762868145437,40.49944739329305,46.9825197962704,62.028722424124226,173,1.0,0.9657008196543269,1272.00330666042,True
9,2729,2458555.45312108,2458555.4542919872,101.1663607729349,40.80051457599335,46.9825197962704,62.22571137458202,153,1.0022624855657722,1.001179074554546,1240.4584707296585,True
9,2732,2458557.8196366397,2458557.8215030897,161.26127031284713,45.696878640706224,46.9825197962704,65.54053618876164,173,1.0,1.0563676363364911,1115.1336349747228,True
9,2733,2458558.60847516,2458558.6095563658,93.41617616444765,57.09287651619047,46.9825197962704,73.93885119001995,174,1.3479818937475947,0.9629377764669441,1239.0114754034723,True
9,2734,2458559.39731368,2458559.399271883,169.188731402241,45.999450171134214,46.9825197962704,65.75185611413262,174,1.1054354881721606,0.9928461240542289,1488.166766170294,True
9,2735,2458560.1861521997,2458560.186777367,54.01442351471379,44.5972347442116,46.9825197962704,64.7786269786359,174,1.0910693297238105,0.9781376754360344,1372.1237801156988,True
9,2736,2458560.97499072,2458560.977269844,196.91633096770602,40.65485954753025,46.9825197962704,62.13030477340629,174,1.0,0.831998171460536,1347.8195835086049,True
9,2737,2458561.7638292396,2458561.765520869,146.1567607441532,46.54012252544634,46.9825197962704,66.13123445914569,174,1.147697392430915,0.858119624998451,1319.1102530212625,True
9,2738,2458562.55266776,2458562.5537921395,97.14640168730573,42.344068063415335,46.9825197962704,63.248535687129475,174,1.0449322323894596,0.8575387276721638,1542.9284821801523,True
9,2739,2458563.34150628,2458563.3426929293,102.52649034764964,47.71922017882178,46.9825197962704,66.96626867970032,174,1.1422114653023088,1.0637707218529142,1295.9040057423404,True
